epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.7076,1.64116,0.29252,1,1.52307,0.000360324,0.000360324,0.000360324
2,8.62089,1.30986,0.40136,1,1.36067,0.00069449,0.00069449,0.00069449
3,11.885,1.17525,0.45578,1,1.191,0.000991993,0.000991993,0.000991993
4,14.9549,1.00879,0.59184,1,1.00269,0.000946016,0.000946016,0.000946016
5,18.0257,1.02841,0.56463,1,0.91521,0.000891022,0.000891022,0.000891022
6,21.1193,0.89052,0.55782,1,1.04952,0.000836027,0.000836027,0.000836027
7,24.2221,0.81246,0.61905,1,0.90041,0.000781033,0.000781033,0.000781033
8,27.4498,0.83138,0.63946,1,0.83231,0.000726038,0.000726038,0.000726038
9,30.5084,0.7429,0.59184,1,1.01004,0.000671044,0.000671044,0.000671044
10,33.5481,0.67636,0.58503,1,1.07015,0.000616049,0.000616049,0.000616049
11,36.6811,0.62304,0.61905,1,0.90167,0.000561055,0.000561055,0.000561055
12,39.7268,0.61583,0.66667,1,0.79477,0.00050606,0.00050606,0.00050606
13,42.8323,0.63697,0.68027,1,0.7849,0.000451066,0.000451066,0.000451066
14,45.8736,0.63133,0.68027,1,0.72128,0.000396071,0.000396071,0.000396071
15,49.0154,0.57969,0.66667,1,0.73774,0.000341077,0.000341077,0.000341077
16,52.0486,0.55432,0.71429,1,0.68247,0.000286083,0.000286083,0.000286083
17,55.0787,0.5343,0.71429,1,0.7051,0.000231088,0.000231088,0.000231088
18,58.0977,0.5899,0.69388,1,0.72345,0.000176094,0.000176094,0.000176094
19,61.1186,0.50983,0.70068,1,0.75364,0.000121099,0.000121099,0.000121099
20,64.1416,0.5399,0.68707,1,0.70531,6.61045e-05,6.61045e-05,6.61045e-05
