epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70522,2.16841,3.64409,1.23451,0.0322,0.43789,0.09598,0.02976,1.73346,3.77545,1.09602,0.000362776,0.000362776,0.000362776
2,11.984,2.01866,2.29341,1.14007,0.63646,0.26198,0.27245,0.11716,1.75575,2.24209,1.14924,0.000718593,0.000718593,0.000718593
3,17.2752,1.93305,1.94553,1.1238,0.39981,0.47986,0.46153,0.20114,1.73736,1.7523,1.14564,0.00105975,0.00105975,0.00105975
4,22.6168,1.87835,1.79976,1.11415,0.45606,0.46925,0.50106,0.21703,1.75405,1.58774,1.13285,0.00104501,0.00104501,0.00104501
5,27.8117,1.84186,1.71392,1.12134,0.67751,0.46822,0.54723,0.23612,1.73537,1.51969,1.12918,0.00102301,0.00102301,0.00102301
6,32.9161,1.83566,1.65522,1.09599,0.74394,0.49603,0.63231,0.2858,1.71147,1.3997,1.13755,0.00100101,0.00100101,0.00100101
7,37.9597,1.83399,1.60974,1.09692,0.56969,0.66494,0.68332,0.32033,1.6579,1.38685,1.103,0.000979013,0.000979013,0.000979013
8,43.0066,1.78546,1.53015,1.08435,0.69108,0.66416,0.72453,0.33851,1.66458,1.29769,1.10055,0.000957015,0.000957015,0.000957015
9,48.0622,1.81156,1.51385,1.09128,0.71083,0.68087,0.76013,0.36117,1.63376,1.2767,1.09744,0.000935018,0.000935018,0.000935018
10,53.062,1.77607,1.45669,1.08032,0.74209,0.69091,0.76546,0.35544,1.69562,1.26947,1.12213,0.00091302,0.00091302,0.00091302
11,58.0831,1.7765,1.40908,1.07874,0.77293,0.6993,0.79762,0.3743,1.65151,1.19269,1.10121,0.000891022,0.000891022,0.000891022
12,63.249,1.76571,1.39956,1.08145,0.67098,0.68796,0.70332,0.31083,1.7376,1.41846,1.11342,0.000869024,0.000869024,0.000869024
13,68.4421,1.74464,1.36152,1.06916,0.75936,0.75356,0.80839,0.38474,1.66259,1.16169,1.09889,0.000847026,0.000847026,0.000847026
14,73.4421,1.74074,1.32958,1.07399,0.74819,0.73573,0.80082,0.37708,1.68536,1.20511,1.11803,0.000825029,0.000825029,0.000825029
15,78.4587,1.73494,1.32982,1.06381,0.79411,0.78113,0.83631,0.41055,1.62157,1.12687,1.11004,0.000803031,0.000803031,0.000803031
16,83.5033,1.7314,1.29697,1.06633,0.74167,0.7064,0.79277,0.37915,1.64521,1.22823,1.10103,0.000781033,0.000781033,0.000781033
17,88.556,1.72954,1.28132,1.06045,0.7792,0.73735,0.8161,0.39644,1.62152,1.13034,1.09737,0.000759035,0.000759035,0.000759035
18,93.4833,1.71745,1.2615,1.057,0.78231,0.75954,0.82891,0.39998,1.62541,1.11351,1.09212,0.000737037,0.000737037,0.000737037
19,98.3781,1.70349,1.23646,1.05814,0.85707,0.77656,0.86374,0.42592,1.62326,0.99982,1.08876,0.00071504,0.00071504,0.00071504
20,103.404,1.70519,1.2239,1.04931,0.80715,0.73451,0.82278,0.39791,1.66305,1.10155,1.09808,0.000693042,0.000693042,0.000693042
21,108.503,1.69905,1.22344,1.05511,0.81617,0.77114,0.8398,0.4014,1.63207,1.09663,1.09964,0.000671044,0.000671044,0.000671044
22,113.423,1.69867,1.20265,1.04532,0.84888,0.80679,0.88014,0.44468,1.5995,0.99318,1.08779,0.000649046,0.000649046,0.000649046
23,118.406,1.66378,1.17907,1.04731,0.82852,0.80047,0.87497,0.43115,1.59577,1.00801,1.08039,0.000627048,0.000627048,0.000627048
24,123.351,1.699,1.1654,1.0513,0.84433,0.79221,0.8695,0.43592,1.58205,1.00455,1.07814,0.000605051,0.000605051,0.000605051
25,128.27,1.6716,1.15028,1.04845,0.84423,0.79776,0.88432,0.44001,1.59846,0.99916,1.07828,0.000583053,0.000583053,0.000583053
26,133.275,1.66496,1.14384,1.04765,0.85854,0.81149,0.87755,0.43732,1.58102,0.99547,1.07895,0.000561055,0.000561055,0.000561055
27,138.258,1.67242,1.1461,1.04386,0.86569,0.82685,0.89258,0.44708,1.56793,0.95911,1.07731,0.000539057,0.000539057,0.000539057
