epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2737,1.00113,0.47838,1.0114,0.8621,0.8614,0.89907,0.43579,1.80399,0.82758,1.33704,0.000368047,0.000368047,0.000368047
2,74.5089,1.00513,0.4642,0.97157,0.87384,0.85056,0.89603,0.42572,1.84585,0.8336,1.3815,0.000720106,0.000720106,0.000720106
3,110.396,1.00512,0.46828,0.96253,0.87254,0.83332,0.88875,0.42432,1.82697,0.84437,1.37381,0.00105383,0.00105383,0.00105383
4,146.165,1.01232,0.46247,0.9618,0.88236,0.81786,0.89401,0.417,1.85917,0.87477,1.37778,0.00102851,0.00102851,0.00102851
5,181.936,0.9648,0.44436,0.94109,0.85354,0.83707,0.88023,0.41861,1.87364,0.92124,1.40807,0.00100101,0.00100101,0.00100101
6,217.805,0.91835,0.42255,0.92415,0.85192,0.85219,0.887,0.42035,1.86501,0.88202,1.40297,0.000973514,0.000973514,0.000973514
7,253.615,0.90662,0.41411,0.91521,0.84373,0.85349,0.87861,0.41503,1.89161,0.88716,1.43042,0.000946016,0.000946016,0.000946016
8,289.39,0.8836,0.40813,0.9107,0.8567,0.87044,0.89127,0.42652,1.85339,0.8997,1.40297,0.000918519,0.000918519,0.000918519
9,325.406,0.84092,0.39034,0.89591,0.86568,0.84823,0.87474,0.41864,1.84198,0.89592,1.41389,0.000891022,0.000891022,0.000891022
10,361.676,0.81055,0.37634,0.88761,0.87538,0.85418,0.89095,0.43146,1.85625,0.90361,1.43661,0.000863525,0.000863525,0.000863525
11,397.796,0.79974,0.37568,0.88571,0.86034,0.84783,0.87844,0.41998,1.85868,0.93182,1.43566,0.000836027,0.000836027,0.000836027
