epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7724,1.66337,1.96568,1.21342,0.67659,0.66253,0.68843,0.31377,1.73604,1.24493,1.24655,0.000368047,0.000368047,0.000368047
2,74.9308,1.54289,0.9859,1.15354,0.71527,0.78958,0.82817,0.39066,1.73529,1.06391,1.23259,0.000732289,0.000732289,0.000732289
3,111.099,1.49967,0.85655,1.13551,0.79036,0.80645,0.84409,0.38619,1.75069,1.01789,1.26919,0.00109042,0.00109042,0.00109042
4,146.989,1.44882,0.77383,1.12724,0.80021,0.78601,0.84805,0.38147,1.84654,1.02641,1.31172,0.0010835,0.0010835,0.0010835
5,183.19,1.39944,0.7156,1.11162,0.82544,0.81212,0.87263,0.40693,1.82091,0.96114,1.30913,0.00107434,0.00107434,0.00107434
6,219.454,1.30625,0.64757,1.07283,0.8016,0.84331,0.86709,0.41339,1.77912,0.97657,1.31182,0.00106517,0.00106517,0.00106517
7,255.625,1.23372,0.61984,1.04156,0.83003,0.80546,0.86784,0.40883,1.80045,0.96119,1.30869,0.00105601,0.00105601,0.00105601
8,291.626,1.1824,0.57407,1.02636,0.83863,0.80384,0.86491,0.401,1.78246,0.93552,1.32091,0.00104684,0.00104684,0.00104684
9,327.559,1.1283,0.53958,1.00894,0.84348,0.83524,0.87491,0.41012,1.82006,0.94869,1.33158,0.00103767,0.00103767,0.00103767
10,363.527,1.04689,0.51252,0.97753,0.87313,0.8277,0.88965,0.41624,1.83463,0.93037,1.34754,0.00102851,0.00102851,0.00102851
11,399.509,1.02732,0.50731,0.96472,0.85535,0.81871,0.85248,0.39448,1.83167,1.03542,1.37057,0.00101934,0.00101934,0.00101934
12,435.481,0.99011,0.48384,0.95516,0.81807,0.84292,0.86538,0.40388,1.82417,0.95289,1.36376,0.00101018,0.00101018,0.00101018
13,471.298,0.91652,0.45499,0.92816,0.85177,0.81725,0.88381,0.41966,1.80535,0.92219,1.37963,0.00100101,0.00100101,0.00100101
14,507.3,0.90711,0.45008,0.92386,0.8346,0.85547,0.88766,0.4055,1.81501,0.93818,1.38571,0.000991845,0.000991845,0.000991845
15,543.477,0.85896,0.42446,0.9082,0.85354,0.84318,0.87284,0.41227,1.78957,0.95493,1.38566,0.000982679,0.000982679,0.000982679
16,579.836,0.80926,0.41322,0.8904,0.8829,0.82815,0.8872,0.42156,1.80304,0.91452,1.38949,0.000973514,0.000973514,0.000973514
17,616.079,0.79798,0.40445,0.88986,0.85841,0.85058,0.87492,0.40555,1.83349,0.94136,1.40375,0.000964348,0.000964348,0.000964348
18,652.122,0.76194,0.3983,0.87825,0.84897,0.86201,0.87231,0.41433,1.79025,0.95693,1.39831,0.000955182,0.000955182,0.000955182
19,688.089,0.75667,0.39231,0.87456,0.85102,0.8527,0.87571,0.41132,1.8121,0.93686,1.38993,0.000946016,0.000946016,0.000946016
20,724.049,0.72963,0.37545,0.86525,0.84824,0.8432,0.87712,0.42244,1.80535,0.9141,1.41564,0.000936851,0.000936851,0.000936851
21,760.003,0.69726,0.36306,0.85925,0.853,0.86529,0.89645,0.42471,1.81144,0.92493,1.43056,0.000927685,0.000927685,0.000927685
22,795.988,0.66337,0.35138,0.85055,0.85896,0.83931,0.87296,0.41247,1.80624,0.94996,1.4226,0.000918519,0.000918519,0.000918519
23,831.971,0.66788,0.35661,0.84788,0.86704,0.82718,0.88021,0.41822,1.81969,0.9521,1.42592,0.000909353,0.000909353,0.000909353
24,867.906,0.65774,0.34834,0.84615,0.87693,0.83196,0.88994,0.42375,1.78604,0.91377,1.42113,0.000900188,0.000900188,0.000900188
25,904.171,0.6333,0.34143,0.84251,0.85707,0.85437,0.88457,0.41523,1.80852,0.92632,1.45294,0.000891022,0.000891022,0.000891022
26,940.445,0.62949,0.33745,0.8383,0.88062,0.83935,0.88851,0.43186,1.78495,0.93995,1.4316,0.000881856,0.000881856,0.000881856
27,976.619,0.61707,0.33529,0.83759,0.88175,0.83552,0.87608,0.42917,1.77904,0.90832,1.41912,0.000872691,0.000872691,0.000872691
28,1012.54,0.60284,0.32613,0.83301,0.86497,0.84663,0.87636,0.41369,1.82512,0.93305,1.44557,0.000863525,0.000863525,0.000863525
29,1048.37,0.58245,0.31673,0.82766,0.88843,0.83173,0.8735,0.42146,1.79036,0.9483,1.43499,0.000854359,0.000854359,0.000854359
30,1084.23,0.57835,0.31658,0.82777,0.872,0.85482,0.88637,0.44255,1.78258,0.92678,1.41996,0.000845193,0.000845193,0.000845193
31,1120.15,0.57289,0.31393,0.82587,0.88398,0.84996,0.88765,0.42279,1.77026,0.93957,1.42315,0.000836027,0.000836027,0.000836027
32,1156.07,0.54975,0.30425,0.82041,0.88948,0.85458,0.88825,0.42866,1.78477,0.95684,1.43769,0.000826862,0.000826862,0.000826862
33,1191.87,0.54788,0.30491,0.81959,0.84865,0.86197,0.88902,0.43056,1.79553,0.97332,1.45089,0.000817696,0.000817696,0.000817696
34,1227.8,0.53303,0.30347,0.81704,0.86155,0.81169,0.85416,0.41173,1.79572,1.03361,1.44666,0.00080853,0.00080853,0.00080853
35,1263.95,0.56249,0.3103,0.82083,0.90069,0.82229,0.88741,0.4257,1.8116,0.93438,1.45488,0.000799365,0.000799365,0.000799365
36,1300.4,0.53306,0.30108,0.81703,0.86644,0.84455,0.88172,0.42018,1.81212,0.96324,1.45727,0.000790199,0.000790199,0.000790199
37,1337.15,0.52024,0.29477,0.81355,0.87703,0.83867,0.88083,0.43456,1.80869,0.96663,1.46509,0.000781033,0.000781033,0.000781033
38,1373.11,0.52522,0.29776,0.81591,0.85531,0.85304,0.87631,0.43374,1.79764,0.98434,1.44481,0.000771867,0.000771867,0.000771867
39,1408.97,0.49848,0.28553,0.81074,0.88211,0.821,0.88304,0.43497,1.78138,0.95896,1.45009,0.000762702,0.000762702,0.000762702
40,1444.84,0.50546,0.28902,0.81022,0.83881,0.85556,0.86907,0.41323,1.81323,0.99687,1.47342,0.000753536,0.000753536,0.000753536
41,1480.73,0.48883,0.28242,0.80853,0.85227,0.8594,0.87312,0.41675,1.77598,0.96199,1.43669,0.00074437,0.00074437,0.00074437
42,1516.61,0.49015,0.28198,0.80766,0.85555,0.84762,0.88405,0.42688,1.77491,0.94029,1.45489,0.000735204,0.000735204,0.000735204
43,1552.5,0.49989,0.28386,0.80723,0.8483,0.87801,0.89013,0.43742,1.77406,0.94578,1.4559,0.000726038,0.000726038,0.000726038
44,1588.38,0.47118,0.26984,0.80266,0.90352,0.82422,0.87916,0.42962,1.77332,0.94765,1.44846,0.000716873,0.000716873,0.000716873
45,1624.51,0.45693,0.26735,0.80216,0.85765,0.84938,0.87805,0.43005,1.78975,0.96955,1.46583,0.000707707,0.000707707,0.000707707
46,1660.79,0.46603,0.27273,0.80374,0.84924,0.85587,0.88342,0.4246,1.77256,0.97544,1.46166,0.000698541,0.000698541,0.000698541
47,1696.98,0.47652,0.27614,0.80369,0.86032,0.86284,0.88771,0.42412,1.78323,0.96395,1.47162,0.000689376,0.000689376,0.000689376
48,1732.89,0.46078,0.26991,0.80183,0.88963,0.81447,0.88275,0.4272,1.77198,0.96344,1.45626,0.00068021,0.00068021,0.00068021
49,1768.82,0.45739,0.26589,0.80147,0.85547,0.85012,0.88458,0.43521,1.77402,0.96916,1.44846,0.000671044,0.000671044,0.000671044
50,1804.69,0.45012,0.26622,0.80023,0.83935,0.87121,0.87501,0.42375,1.79025,0.94409,1.48842,0.000661878,0.000661878,0.000661878
51,1840.57,0.45234,0.26438,0.79999,0.86001,0.8664,0.891,0.43843,1.77825,0.92721,1.45865,0.000652712,0.000652712,0.000652712
52,1876.46,0.44327,0.26135,0.79709,0.85993,0.87923,0.89776,0.43601,1.77238,0.93403,1.4595,0.000643547,0.000643547,0.000643547
53,1912.27,0.4374,0.25837,0.79894,0.86611,0.85223,0.88065,0.42235,1.78506,0.98266,1.47767,0.000634381,0.000634381,0.000634381
54,1948.72,0.41358,0.24729,0.79136,0.87006,0.84116,0.88429,0.43636,1.76856,0.97066,1.4663,0.000625215,0.000625215,0.000625215
55,1985.8,0.42004,0.25172,0.79323,0.88438,0.85325,0.88877,0.44608,1.76561,0.96082,1.46232,0.000616049,0.000616049,0.000616049
56,2022.3,0.43077,0.25753,0.79584,0.86191,0.83998,0.88022,0.43652,1.78627,0.97075,1.47345,0.000606884,0.000606884,0.000606884
57,2058.39,0.42103,0.25223,0.79419,0.87215,0.84439,0.87064,0.43718,1.77523,0.98565,1.46853,0.000597718,0.000597718,0.000597718
58,2094.27,0.4218,0.25099,0.79364,0.88949,0.82927,0.88455,0.44047,1.78653,0.98708,1.46724,0.000588552,0.000588552,0.000588552
59,2130.2,0.40722,0.24586,0.79054,0.86313,0.84782,0.87875,0.43968,1.7733,0.96178,1.46071,0.000579386,0.000579386,0.000579386
60,2166.18,0.40665,0.24332,0.79358,0.86488,0.86642,0.88915,0.44151,1.77316,0.95773,1.47729,0.000570221,0.000570221,0.000570221
61,2202.1,0.39834,0.24248,0.78996,0.8537,0.85587,0.89027,0.44746,1.78972,0.99774,1.4772,0.000561055,0.000561055,0.000561055
62,2238.07,0.40732,0.24399,0.79105,0.86811,0.85016,0.88292,0.44296,1.77436,0.99585,1.46779,0.000551889,0.000551889,0.000551889
63,2274,0.39452,0.23971,0.79058,0.87682,0.83648,0.88139,0.4417,1.77204,0.97558,1.46207,0.000542723,0.000542723,0.000542723
64,2309.96,0.40438,0.24062,0.79051,0.85367,0.84527,0.86977,0.43854,1.76544,1.0107,1.47712,0.000533558,0.000533558,0.000533558
65,2346.16,0.39133,0.23681,0.78901,0.88844,0.83998,0.89459,0.44747,1.78667,0.97867,1.48778,0.000524392,0.000524392,0.000524392
66,2382.55,0.38278,0.23447,0.78906,0.87658,0.85954,0.88644,0.44321,1.77585,0.96167,1.48305,0.000515226,0.000515226,0.000515226
67,2418.68,0.37467,0.22963,0.78655,0.87329,0.85998,0.88113,0.44538,1.77309,0.96126,1.4777,0.00050606,0.00050606,0.00050606
68,2454.58,0.3727,0.22991,0.78646,0.88532,0.83748,0.87821,0.43446,1.7735,0.98873,1.47873,0.000496895,0.000496895,0.000496895
69,2490.51,0.37343,0.22697,0.78786,0.90618,0.83017,0.89562,0.44989,1.77386,0.95841,1.48242,0.000487729,0.000487729,0.000487729
70,2526.39,0.37559,0.22998,0.78739,0.8924,0.82472,0.89632,0.45369,1.78652,0.9754,1.47343,0.000478563,0.000478563,0.000478563
71,2562.35,0.37691,0.23165,0.7868,0.89017,0.81976,0.88704,0.45038,1.77289,0.95796,1.4819,0.000469397,0.000469397,0.000469397
