epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96237,2.40482,4.58145,1.23461,0.00212,0.06809,0.00195,0.00085,1.92254,4.34811,0.97762,6.664e-05,6.664e-05,6.664e-05
2,5.24614,1.95297,4.24357,1.07242,0.0058,0.19574,0.11196,0.06774,1.72421,4.23438,0.91398,0.000138806,0.000138806,0.000138806
3,7.41864,1.76105,3.5514,0.97231,0.00741,0.20204,0.14681,0.09203,1.68599,4.20286,0.89966,0.000208003,0.000208003,0.000208003
4,9.6458,1.75541,2.92889,0.9494,0.02111,0.21677,0.17211,0.09506,1.6755,4.05566,0.89013,0.000274232,0.000274232,0.000274232
5,11.7366,1.73629,2.51637,0.94716,0.11473,0.31291,0.26924,0.14777,1.68866,3.83094,0.88953,0.000337492,0.000337492,0.000337492
6,13.731,1.65511,2.1659,0.92713,0.11517,0.34381,0.27887,0.13019,1.72262,3.73693,0.89368,0.000397782,0.000397782,0.000397782
7,15.7449,1.68263,1.94852,0.94032,0.12499,0.40639,0.32358,0.16915,1.68776,3.46504,0.87907,0.000455105,0.000455105,0.000455105
8,17.7265,1.69055,1.83163,0.95239,0.90783,0.20653,0.33584,0.1668,1.71392,3.17591,0.87452,0.000509458,0.000509458,0.000509458
9,19.7717,1.68114,1.65968,0.94267,0.89769,0.24131,0.36718,0.16678,1.76928,3.00244,0.88408,0.000560842,0.000560842,0.000560842
10,21.7945,1.64683,1.59485,0.93101,0.73697,0.26841,0.39944,0.188,1.74902,2.78548,0.88176,0.000609258,0.000609258,0.000609258
11,23.8172,1.63168,1.53987,0.92632,0.78734,0.35154,0.48019,0.22145,1.70415,2.08013,0.88891,0.000654705,0.000654705,0.000654705
12,25.889,1.60384,1.42249,0.92406,0.80407,0.46092,0.54915,0.27348,1.64722,1.72975,0.88781,0.000651573,0.000651573,0.000651573
13,27.9338,1.63086,1.44158,0.95267,0.77141,0.50665,0.56258,0.27985,1.60975,1.47317,0.89179,0.000635079,0.000635079,0.000635079
14,29.971,1.62607,1.35031,0.95706,0.78073,0.51956,0.57257,0.29765,1.61821,1.3404,0.88941,0.000618586,0.000618586,0.000618586
15,32.0507,1.58094,1.33121,0.95323,0.82482,0.54713,0.5761,0.30777,1.58912,1.19105,0.89528,0.000602092,0.000602092,0.000602092
16,34.2006,1.57387,1.30713,0.94541,0.83011,0.5561,0.58244,0.3091,1.58032,1.10764,0.89965,0.000585599,0.000585599,0.000585599
17,36.2226,1.51577,1.28578,0.93275,0.81858,0.57431,0.60748,0.31472,1.65789,1.12158,0.90379,0.000569106,0.000569106,0.000569106
18,38.31,1.53414,1.20694,0.91406,0.59869,0.5719,0.60941,0.30964,1.69744,1.11734,0.90879,0.000552612,0.000552612,0.000552612
19,40.3706,1.50959,1.2213,0.93883,0.77044,0.65263,0.60416,0.31486,1.56611,1.04171,0.90515,0.000536119,0.000536119,0.000536119
20,42.4196,1.5705,1.18588,0.94078,0.79196,0.63368,0.60592,0.31991,1.5631,1.04374,0.9024,0.000519625,0.000519625,0.000519625
